0.141,0.8938,1.178,1.3877,1.7613
0.4874,0.8967,1.1536,1.2782,1.5577,1.8485
0.6814,1.0368,1.2123,1.4345,1.7895
0.0169,0.5619,0.8549,1.0734,1.2081,1.3907,1.6581,1.9152
0.268,0.8292,1.0947,1.2342,1.4465,1.7634
0.0084,0.6089,0.9999,1.1783,1.3224,1.6052,1.9045
0.3448,0.7905,1.0894,1.2205,1.4255,1.7322
0.0892,0.9771,1.18,1.3596,1.7824,1.7824
0.2512,0.7802,1.071,1.2086,1.3884,1.7338
0.7623,1.1233,1.2916,1.6289
0.6111,1.0203,1.2187,1.4779,1.8558
0.3727,0.8434,1.1095,1.2417,1.4766,1.7891
0.3957,0.8019,1.0422,1.2098,1.398,1.6985,1.968
0.017,0.4479,0.7778,1.0378,1.1925,1.3477,1.5925,1.86,
0.6403,1.0056,1.1882,1.3498,1.6354,1.9323
0.0871,0.6522,1.0265,1.215,1.4496,1.795
0.5323,0.884,1.1267,1.2614,1.5132,1.8345
0.0148,1.0091,1.1963,1.4069,1.8041
1.0055,1.2084,1.4687,1.9377
0.3187,0.6752,0.9992,1.1636,1.305,1.5508,1.8176
0.1443,0.6589,0.9542,1.1643,1.3038,1.5574,1.8872
1.1318,1.3341,1.828
1.1198,1.3247,1.7137
0.8558,1.1523,1.3415,1.7561
0.0663,0.6514,0.9864,1.1827,1.3599,1.6474,1.9207
1.0228,1.2302,1.5783
0.0452,0.5271,0.8261,1.0821,1.2242,1.4041,1.7298,1.9899
0.2031,0.6471,0.9789,1.1787,1.3427,1.6537,1.932
0.7811,1.1186,1.2623,1.5817
0.5837,0.9996,1.1879,1.3615,1.6895
0.2496,0.6485,0.9449,1.1467,1.2616,1.5151,1.773
0.3738,0.9045,1.1811,1.3591,1.672
0.3629,0.8391,1.0778,1.2203,1.4257,1.7381,1.9844
1.147,1.336,1.9275
0.0189,0.6321,1.0042,1.1798,1.3459,1.6457,1.9724
0.6416,1.0938,1.2635,1.5821,1.9518
0.482,0.8637,1.1155,1.2429,1.4615,1.7732
0.1459,0.7872,1.0955,1.2379,1.5163,1.8976
0.5215,0.954,1.1606,1.305,1.593,1.8989
0.0888,0.8176,1.1416,1.3031,1.6137
0.8458,1.1439,1.3043,1.6071,1.9683
0.2725,0.68,0.9981,1.1481,1.2508,1.4616,1.724,1.724
0.279,0.6601,0.9779,1.1708,1.3087,1.5798,1.8804
0.3592,0.8436,1.1072,1.2541,1.5772,1.9391
0.481,0.8849,1.1452,1.2472,1.4824,1.8401
0.3474,0.7529,1.0443,1.2077,1.3946,1.6965
0.8167,1.1758,1.3716,1.822
0.1315,0.5276,0.887,1.1171,1.236,1.4439,1.7539
0.3685,0.7906,1.0293,1.1775,1.3118,1.5557,1.8309
0.6501,1.1035,1.2684,1.6331
0.5804,1.144,1.3526,1.7961
0.0168,0.6711,1.0333,1.2231,1.4888,1.921
0.0176,0.5785,0.9422,1.1481,1.2639,1.4903,1.7855
