0.3411,0.7793,1.2175,1.6557
0.3344,0.7726,1.2108,1.6491
0.3382,0.7764,1.2146,1.6529
0.2866,0.7248,1.163,1.6012
0.1169,0.5551,0.9933,1.4315,1.8697
0.2603,0.6985,1.1367,1.5749
0.2451,0.6833,1.1215,1.5598,1.9981
0.2584,0.6966,1.1348,1.573
0.3021,0.7403,1.1785,1.6168
0.2484,0.6866,1.1248,1.563
0.0374,0.4756,0.9138,1.352,1.7903
0.3294,0.7676,1.2058,1.644
0.0236,0.4618,1.3382,1.7764,1.3382,1.7764
0.215,0.6532,1.0914,1.5297,1.9679
0.0835,0.5217,0.9599,1.3981,1.8364
0.171,0.6092,1.0474,1.4857,1.9239
0.1314,0.5696,1.0078,1.446,1.8843
0.3032,0.7414,1.1796,1.6178
0.1965,0.6347,1.0729,1.5111,1.9494
0.1295,0.5677,1.0059,1.4441,1.8824
0.2649,0.7031,1.1413,1.5795
0.0049,0.4432,0.8814,1.3196,1.7579
0.1952,0.6334,1.0716,1.5099,1.9481
0.1905,0.6287,1.0669,1.5051,1.9434
0.182,0.6202,1.0585,1.4967,1.935
0.0419,0.4801,0.9183,1.3565,1.7947
0.3268,0.765,1.2032,1.6414
0.3618,1.2382,1.6764,1.2382,1.6764
0.3115,0.7497,1.1879,1.6261
0.356,0.7942,1.2324,1.6707
0.2478,0.686,1.1242,1.5625
0.2712,0.7094,1.1476,1.5858
0.1228,0.561,0.9992,1.4375,1.8757
0.2462,0.6844,1.1226,1.5608,1.999
0.2056,0.6438,1.082,1.5203,1.9585
0.3017,0.7399,1.1781,1.6164
0.1169,0.5551,0.9933,1.4315,1.8697
0.3303,0.7685,1.2067,1.645
0.126,0.5642,1.0024,1.4406,1.8789
0.3213,0.7595,1.1977,1.6359
0.0575,0.4957,0.9339,1.3721,1.8104
0.1859,0.6241,1.0623,1.5005,1.9388
0.1399,0.5781,1.0163,1.4545,1.8928
0.1544,0.5926,1.0308,1.469,1.9073
0.1373,0.5755,1.0137,1.4519,1.8901
0.3556,0.7938,1.232,1.6702
0.1261,0.5643,1.0025,1.4407,1.879
0.2005,0.6387,1.0769,1.5151,1.9534
0.0602,0.4984,0.9366,1.3748,1.813
0.1721,0.6103,1.0485,1.4867,1.925
0.0052,0.4435,0.8817,1.3199,1.7582
0.3401,0.7783,1.2165,1.6548
0.3312,0.7694,1.2076,1.6458
0.2097,0.6479,1.0861,1.5244,1.9626
0.335,0.7732,1.2114,1.6496
0.3286,0.7668,1.205,1.6433
0.3402,0.7784,1.2166,1.6549
0.2712,0.7094,1.1476,1.5858
0.2747,0.7129,1.1512,1.5894
0.3257,0.7639,1.2021,1.6404
0.0325,0.4707,0.9089,1.3471,1.7853
0.3146,0.7528,1.191,1.6293
0.1518,0.59,1.0282,1.4664,1.9047,1.9047
0.3539,0.7921,1.2303,1.6685
0.2683,0.7065,1.1447,1.5829
0.3148,0.753,1.1912,1.6294
0.226,0.6642,1.1024,1.5406,1.9788
0.3576,0.7958,1.234,1.6722
