1.1183,1.9888
0.2544,0.9455,1.6213
0.2376,0.6953,1.2397,1.8512
1.0051,1.7926
1.2836
0.4995,1.3474
0.1132,0.6754,1.3449
1.6553
0.4888,1.0873,1.7043
46.8,1699.4,1699.4
0.0281,0.6671,1.2518,1.8356
1.1925,1.9423
0.3388,1.3333
0.4978,1.2546,1.94,
776.9,1415.8,1.9,776.9,1415.8
0.3923,1.1375,1.8218
0.7503,1.6639
0.5523,1.1875,1.8499
0.6641,1.2259,1.7792

0.297,0.9333,1.6707
0.6063,1.2551
0.9539,1.7538
0.5236,1.051,1.529
0.4957,1.2689,1.95,
0.533,1.2574
0.1331,0.8619,1.4666
0.3149,0.905,1.5255
0.8646,1.6484
0.7648,1.4274
0.6821,1.4754
0.0285,0.7768,1.5186
0.5191,1.1238,1.8207
0.146,0.8609,1.4835
0.3988,1.128
0.7381,1.6945
0.6588,1.5995
0.4267,1.1581,1.7629
0.1278,0.8686,1.5459
0.6604,1.393
0.4304,1.0751,1.698
0.5154,1.2495,1.9485
0.4996,1.5497
0.9271
0.1785,0.8992,1.4735
0.3876,1.4753
0.4395,1.6746
0.0867,0.7522,1.379
0.5755,1.2287,1.8006
0.4216,1.2835
0.7749,1.5426
0.4978,1.0594,1.6373
0.1965,0.9384,1.5687
0.6541,1.375
0.7337,1.503
222.2
0.216,0.895,1.5212
0.9518,1.8477
0.4407,1.1346,1.8063
0.8404,1.6286
0.0475,0.8734,1.6313
0.5777,1.1329
0.2847,0.8787,1.4041,1.9124
0.4958,1.471
639.9,1254.1,1774.3,639.9,1254.1,1774.3
0.4027,1.4787
0.3784,1.261,1.9186
1.5467
0.5,1.2581,1.888,1.888
0.6594,1.4135

0.6544,1.3575
0.5323,1.3918
0.4931,1.2853,1.9279
0.8577,1.7042
0.4397,1.0707,1.6844

0.7415,1.5109
0.6882,1.2908
0.9239,1.6837
0.0976,0.871,1.481
0.159,0.68,1.266,1.9524,1.9524
0.6943,1.4505
0.3575,0.8872,1.4241,1.9809
0.5604,1.1281,1.6867
0.4918,1.0296,1.5258
0.3019,1.0046,1.7928
0.2206,0.9397,1.5704
0.0865,0.7637,1.3432,1.925
0.4524,1.0323,1.5974
0.2136,0.8103,1.3982
0.6294,1.7157
0.3171,0.9453,1.5249
0.7966,1.4546
0.3079,1.4065
0.5797,1.3312
1.009
0.208,1.2223
0.3846,1.2516,1.8481
0.1487,0.7609,1.3373,1.9388
0.2195,0.9143,1.5221
0.3904,1.1143,1.8043
0.6164,1.1886,1.8817
0.6943,1.403
0.7738,1.4903
1.2846
0.1823,1.1275
1.3366
0.7384,1.5988
0.2323,1.0959,1.7953
0.2911,0.8142,1.4543
0.6697,1.7619
0.4257,1.0778,1.9914
0.4009,1.1399,1.8536
0.8233,1.5441
0.6062,1.1824,1.7731
0.667,1.4423
0.6462,1.542
0.1746,1.1824,1.9504
0.5273,1.2378,1.8461
0.1207,1.1328
0.5033,1.1616
0.5704,1.0703,1.6255

0.6957,1.259,1.8872
0.7094,1.4175
0.3733,1.1161,1.8325
0.5802,1.3719,1.9978
0.4776,1.124,1.7016
0.4059,1.1483,1.8886
0.9533,1.8446
0.7747,1.4703
0.1407,1.119,1.7918
0.7745,1.6098
0.1746,0.8839,1.603
0.3907,1.0881,1.7214
0.5732,1.2455,1.9272
0.6834,1.5065
0.8126,1.7245
0.391,1.2271
0.6594,1.6716
0.3726,1.1717,1.94,
1.7205
0.2981,0.8794,1.5191
0.4997,1.6704
0.2968,1.0382,1.6887
0.0709,1.1459,1.9044
0.3502,0.9269,1.3985,1.9162
0.0617,0.7673,1.4937
0.9221,1.6996
1.3689
0.7321,1.4088
0.5794,1.1627,1.7657
1.1674
0.4653,1.3338
0.3644,0.9946,1.6925
1.0073
0.3402,0.9751,1.5447
0.6424,1.6283
0.6435,1.9133
0.3907,0.9728,1.6195
1.3138
0.235,0.8958,1.515
0.9408
0.1059,0.7601,1.3181,1.8422
0.7619,1.4939
0.9088,1.6357
0.3158,0.7723,1.2614,1.7905
0.1349,1.1067,1.8516
0.4023,1.1801,1.8528
0.966,1.951
0.706,1.5087
0.7689,1.4394
0.497,1.1772,1.8519
0.9295,1.6722
0.6157,1.385
0.0635,0.6021,1.0735,1.5713
0.6526,1.2514,1.8286
0.155,0.7666,1.291,1.8212
0.4304,1.1242,1.754
0.5019,1.2563,1.9412
0.4765,1.1539,1.8007
0.2154,1.1535,1.9501
0.5773,1.2555,1.8536
0.5162,1.1162,1.7603
0.1715,0.8202,1.3819
0.5245,1.0399,1.5008
41.5,1151.3,1151.3
0.1729,0.7614,1.3519,1.9208
0.165,1.0599,1.7685
0.5018,1.3694
0.5428,1.1906,1.8502
0.5042,1.2615
1.0979
0.2204,0.7555,1.4047
0.1274,1.2173
0.1627,0.8675,1.479
0.2347,1.303
0.6013,1.2698,1.856
0.8199,1.6779
55.1,1398.7,1398.7
0.7777,1.9008
0.1516,0.8327,1.5386
0.1646,0.7784,1.351,1.9235
0.9794,1.9321
0.4641,1.1097,1.71,
0.6928,1.3863
0.6339,1.2548,1.923
1.0054,1.7657
0.342,0.9426,1.5532
1.5237
0.3696,1.1264,1.8958
0.4595,1.1079,1.6822
0.3758,1.1336,1.7807
0.6977,1.2878,1.9524
0.6396,1.3025,1.9256
0.798,1.7625
1.6217
0.1675,0.6937,1.2317,1.7938
0.0718,0.6406,1.1897,1.7629
0.6058,1.2244,1.7896
0.6553,1.3342,1.9073
1.135
0.8224,1.6379
1.4067
0.3065,0.8444,1.5211
0.5547,1.2977,1.9032
0.7549,1.4271
1.0597,1.8455
0.0259,1.1333,1.8844
0.774,1.8292
1.4308
0.0725,1.0159,1.7177
1.5448
0.5814
0.557,1.1195,1.638
0.5921,1.2553,1.9386
1.1447
0.8872,1.5259
0.5034,1.1253,1.7565
0.7472,1.4251
0.7552,1.8761
32.4,1124.8,1124.8
0.2916,1.4469
0.4394,1.106,1.6928
1.6926
0.1712,0.7678,1.3894
0.6941,1.5077
