0,0.236,0.9923,1.5724
1,0.4096,1.1266,1.6616
2,0.2043,0.7855,1.368,1.8406
3,0.0232,1.0005,1.6464
4,0.2669,1.2774,1.8105
5,.0149,.9086,1.547
6,0.696,1.3406,1.8301
7,0.0457,0.8763,1.5116,1.9846
8,0.3114,0.9547,1.5038,1.9556
9,0.5559,1.2479,1.776,
10,0.6868,1.3687,1.8552
11,0.6891,1.377,1.8808
12,0.8757,1.535,
13,0.1291,0.9143,1.5249,1.989
14,0.9307,1.5844
15,0.1193,0.8648,1.4818,1.9521
16,0.4356,1.1318,1.7121
17,0.035,0.7351,1.3877,1.8824
18,0.3283,0.9231,1.4508,1.9197
19,0.361,1.1875,1.7343
20,0.3017,1.0929,1.6648
21,0.2586,1.0885,1.6576
22,0.3143,1.0374,1.6024
23,0.7488,1.4033,1.8914
24,0.2117,1.0356,1.6397
25,0.3972,1.0841,1.6014
26,0.0963,0.9054,1.5159,1.9805
27,0.4308,1.2041,1.739
28,0.3532,1.1037,1.6725
29,0.742,1.3776,1.8544
30,0.4149,1.4122,1.9168
31,0.1782,0.9087,1.5106,1.9765
32,0.7169,1.4719,1.9708
33,0.7732,1.4379,1.9203
34,0.1395,0.7942,1.3876,1.874
35,1.1625,1.7534
36,0.5854,1.2701,1.7855
37,0.1702,0.8402,1.4491,1.9306
38,0.1778,0.8241,1.4064,1.8789
39,0.3885,1.1742,1.726
40,0.9378,1.5859
41,0.5383,1.279,1.8151
42,0.5346,1.2507,1.7617
43,0.3444,0.97,,1.4949,1.9577
44,0.9894,1.6408
45,0.5241,1.2804,1.8052
46,0.257,0.9238,1.5053,1.9768
47,0.2165,0.8769,1.4542,1.9241
48,0.7579,1.414,1.8907
49,0.8378,1.5097,1.9858
50,0.4046,1.1595,1.7105
51,0.0715,0.8788,1.5078,1.978
52,0.0475,0.9551,1.5636
53,0.3381,1.1981,1.7397
54,0.162,0.928,1.5479
55,0.1983,0.9447,1.5495
56,0.7572,1.4963,1.9817
57,0.5214,1.4422,1.9333
58,0.4536,1.1717,1.6955
59,0.2639,1.0597,1.6508
60,0.527,1.2385,1.7607
61,0.3633,1.0581,1.6103
62,0.7102,1.3466,1.8185
63,1.102,1.6967
64,0.3743,1.1387,1.714
65,0.5817,1.2176,1.737
66,0.4012,1.0867,1.6496
67,0.9285,1.6075
68,0.7257,1.3961,1.8689
69,0.4693,1.0597,1.5682
70,0.2355,1.2053,1.7523
71,0.375,1.1831,1.7411
72,0.8861,1.5403
73,0.8607,1.5139,1.9829
74,1.1346,1.7378
75,0.2351,1.0445,1.6383
76,0.8104,1.4703,1.9524
77,0.2287,0.9512,1.5269,1.988,
78,0.8135,1.5103
79,0.4963,1.2271,1.7732
80,0.2483,0.8997,1.4718,1.9346
81,0.282,1.0521,1.6252
82,0.5898,1.3182,1.8156
83,0.2824,1.1135,1.6868
84,0.6042,1.3291,1.8409
85,0.7415,1.3739,1.8562
86,0.5338,1.3244,1.8458
87,0.7182,1.3901,1.874,
88,0.1167,0.8661,1.4913,1.9607
89,0.5699,1.27,,1.798,
90,0.492,1.3044,1.8166
91,0.3112,1.2812,1.8094
92,0.4784,1.1775,1.6983
93,0.6309,1.297,1.7996
94,1.1337,1.7106
95,,.0021,.8343,1.4656,1.9315
96,0.5649,1.2263,1.7238
97,0.5136,1.1299,1.6638
98,0.2036,1.0525,1.6595
99,0.1326,0.925,1.5279,1.9965
100,0.0624,0.6764,1.2527,1.7375
